aid,series_type,test_subject,video_type,test_brand,title,bili_typeid,duration,publish_time
55717781,BBT,,旅行,,TESTV拍银河为啥会失败【BB Time第200期】,21,21:36,1560650422
55504710,正片,运动相机,摄影,大疆,这个国产相机能赶超美国货？DJI OSMO ACTION【值不值得买第345期】,190,17:54,1560477634
55358425,BBT,运动相机,摄影,GoPro|大疆|索尼,GoPro Action RX0 II运动相机如何选？(中)【BB Time第199期】,190,9:36,1560391243
55206251,正片,VR,游戏,HTC,VR游戏真是太好玩啦_Vive Focus Plus【值不值得买第344期】,191,18:41,1560218419
54711077,正片,耳机,影音,Momentum,大厂的大馒头香吗?_MOMENTUM Wireless【值不值得买第343期】,191,13:50,1559872814
54666811,BBT,运动相机,摄影,GoPro|大疆|索尼,GoPro Action RX0 II运动相机如何选？(上)【BB Time第198期】,190,12:13,1559786456
54520570,正片,,软件,1Password,其实你的密码并不安全_1Password【值不值得买第342期】,191,14:29,1559617125
54089974,正片,耳机,影音,三星,安卓界的AirPods_Galaxy Buds【值不值得买第341期】,191,17:22,1559268043
53865193,BBT,手机|手环,开箱,一加|Keep,一加7 Pro与 Keep运动手环开箱体验【BB Time第197期】,95,11:51,1559095201
53819002,正片,音箱,影音,小米,小爱同学真有脸了_小米小爱触屏音箱【值不值得买第340期】,191,15:09,1559008801
53769324,其它,,联动,,片长警告！十万粉丝特别节目【B站摄影UP主图鉴】彩蜂摄影中国行VLOG,122,72:37:00,1558950491
53588357,BBT,重庆,旅行,,走！去重庆网红地打卡【BB Time第196期】,21,13:40,1558836026
53487839,BBT,电脑,装机,,3万块的电脑能玩什么游戏【BB Time第195期】,189,14:26,1558749644
53371129,正片,宠物喂食机,居家,小佩,宠物自动喂食器管用吗_小佩MINI宠物自动喂食器【值不值得买第339期】,75,11:52,1558663257
53178284,BBT,运动相机,开箱|摄影,大疆,大疆Osmo Action运动相机开箱体验【BB Time第194期】,190,11:34,1558490429
53122697,正片,词典,教育,卡西欧,外语考级必备神器？卡西欧电子辞典E-G300【值不值得买第338期】,191,12:44,1558404032
53057614,其它,,录播,,TESTV直播录播-直播牛肉争霸赛活动的抽奖,21,145:31:00,1558338866
52655222,正片,,电脑,一本,500元的笔记本值得买吗？_一本笔记本【值不值得买第337期】,189,13:41,1558058405
52500442,BBT,普吉,旅行,,编导&男朋友带你普吉浪【BB Time第193期】,21,25:24:00,1557885646
52394734,正片,饮水机,居家,小米,1秒就喝热水的饮水机_小米米家云米即热饮水吧1A【值不值得买第336期】,191,14:27,1557799259
51961991,正片,猫咪饮水机,居家,HomeRun,明人不说暗话 我们要水一期_HomeRun猫咪饮水机【值不值得买第335期】,191,13:10,1557453627
51742816,BBT,洗车桶,汽车,,PY君居然接私活了！【BB Time第192期】,191,13:28,1557280849
51685865,正片,打印机,外设,小米,打印的不仅是照片_米家照片打印机【值不值得买第334期】,191,11:59,1557194434
51237070,正片,,手机,华为,我的拍照很牛逼_华为P30Pro【值不值得买第333期】,95,17:39,1556848847
50980799,BBT,洗鞋机,开箱,,网红洗鞋机真的有用吗？【BB Time第191期】,191,11:06,1556762415
50965991,BBT,真人CS,运动,,TESTV-Wargame大作战【BB Time第190期】,163,19:06,1556676023
50888550,正片,蒸汽清洁机,居家,卡赫,一按就能喷射100度热气_卡赫蒸汽清洁机【值不值得买第332期】,191,10:19,1556589650
50453783,正片,耳机,影音,苹果,无处不在的耳机_AirPods2代【值不值得买第331期】,191,16:23,1556244018
50233470,BBT,,日常,,用车载充气泵清洁电子设备？真香！【BB Time第189期】,191,11:55,1556071255
50203997,正片,VR,游戏,Steam,Vive太贵，买这个也能玩SteamVR_NOLO CV1【值不值得买第330期】,191,12:56,1555984828
49817860,BBT,皮具,日常,,手工皮具DIY【BB Time第188期】,161,17:12,1555725652
49721699,正片,耳机,影音,Dyplay|1More,便宜好用的降噪耳机?(下)_dyplay ANC30和1More圈铁降噪耳机【值不值得买第329期】,191,16:12,1555639239
49488198,BBT,手机,开箱,华为,华为P30 Pro开箱体验【BB Time第187期】,95,9:24,1555466424
49456211,正片,滑板,户外,ACTON,品如色电动滑板_ACTON电动滑板【值不值得买第328期】,191,10:22,1555380008
49003325,正片,耳机,影音,Dyplay|漫步者,便宜好用的降噪耳机?(上)_dyplay城市旅行者和漫步者W828NB【值不值得买第327期】,191,15:23,1555034414
48834011,BBT,滑板,运动,,老板翘班去度假我们在家玩滑板【BB Time第186期】,21,19:42,1554861655
48756780,正片,擦窗机器人,居家,科沃斯,买这个窗户就能擦干净？科沃斯擦窗机器人【值不值得买第326期】,191,11:17,1554775229
48315169,正片,机器狗,玩具,布莱迪,男人、孩子和礼物(下)_布莱迪机器狗【值不值得买第325期】,191,17:31,1554429651
48195169,BBT,,旅行,,春游【BB Time第185期】,21,10:39,1554343229
48093045,BBT,炒菜机,美食,,自动炒菜机【BB Time第184期】,76,19:08,1554256813
48016294,正片,3D相机,摄影,Insta360,买它来拍3D小电影？Insta360 EVO【值不值得买第324期】,190,10:46,1554170458
47624409,正片,门锁|猫眼,居家,小米|鹿客,我是一道没得感情的门_鹿客智能猫眼青春版与米家智能门锁_【值不值得买第323期】,191,12:01,1553824802
47447258,BBT,郑州,见面会,,TESTV郑州铁丝见面会【BB Time第183期】,21,23:44,1553652022
47365346,正片,复古相机,摄影,宝丽莱,用这个相机会吸引小姐姐_宝丽来OneStep+【值不值得买第322期】,190,12:38,1553565610
46951498,正片,保温杯,日用,小水怪,男人、孩子和礼物(上)_小水怪智能随行杯G5【值不值得买第321期】,191,16:28,1553220048
46749556,BBT,小面,美食,,TESTV重庆小面你打几分【BB Time第182期】,76,16:02,1553047229
46699629,正片,镜头,摄影,MOMENT,超便宜的拍电影方案_MOMENT手机附加镜头【值不值得买第320期】,190,18:11,1552960820
46293898,正片,,手机,三星,你比我贵，但是不代表我完败（下）_三星S10+【值不值得买第319期】,95,18:38,1552615255
46125249,BBT,镜头,开箱,MOMENT,3000多元的手机附加镜能拍什么_Moment【BB Time第181期】,95,14:01,1552442456
46033537,正片,,摄影,索尼,Sony也有性价比？Sony α6400【值不值得买第318期】,190,14:53,1552356058
45961841,BBT,汽车,汽车,特斯拉,特斯拉Model S 1600公里长途挑战【BB Time第180期】,176,22:07,1552269121
45702365,BBT,汽车,汽车,特斯拉,体验特斯拉Model 3【BB Time第179期】,176,28:06:00,1552096856
45599980,正片,,手机,小米,你比我贵，但是不代表我完败(上)_小米9【值不值得买第317期】,95,14:09,1552010411
45469775,BBT,台灯,开箱,,99元DIY廉价版ScreenBar显示器台灯【BB Time第178期】,161,14:50,1551837614
45389732,正片,门锁,居家,小米,买了锁想换门_米家智能门锁_【值不值得买第316期】,191,12:52,1551751216
45014946,BBT,手机,开箱,小米|三星,小米9 三星S10+开箱初体验【BB Time第177期】,95,11:32,1551492041
44973896,正片,,电脑,台电,1000块的笔记本比Surface还好用？_台电Tbook 10s笔记本电脑【值不值得买第315期】,95,14:01,1551405603
44748715,BBT,鱼缸,日常,,废旧鱼缸改草缸【BB Time第176期】,161,11:50,1551232857
44712933,正片,键鼠,外设,木蝎,M16吃鸡比M4连发还快？木蝎手游键鼠【值不值得买第314期】,191,10:39,1551146455
44330432,正片,打印机,外设,PAPERANG,开学上分利器_PAPERANG喵喵机二代【值不值得买第313期】,191,15:05,1550800859
44118373,BBT,广州,旅行,,老板广州行【BB Time第175期】,21,15:24,1550628052
44059451,BBT,春节,节日,,TESTV如何过春节【BB Time第174期】,21,13:05,1550577617
44027765,正片,掌机,游戏,GPD,重新定义手游玩法？GPD安卓游戏机【值不值得买第312期】,191,13:41,1550541630
